城市,酒店名,星级,商圈,地铁站,会场名称,最大容纳人数, 会场全天价格(平均) ,会场半天价格(平均),围餐,自助,常办活动类型
广州,广州琶洲酒店,三星酒店,琶洲国际会展,会展西,十楼多功能厅,200," 4,155 ",2604 ,800,0,培训/讲座 | 工作会/总结会
广州,广州颐和商务酒店,四星酒店,环市东路地区,农讲所,渤海厅,60," 2,727 ",1877 ,880,0,培训/讲座 | 研讨/交流/论坛
广州,广州嘉逸国际酒店,五星酒店,天河体育中心商圈,冼村,嘉逸宴会厅,250," 14,600 ",8391 ,2060,134,培训/讲座 | 公司年会
广州,广州锦龙乐府,会所,珠江新城商圈,猎德大桥南,多功能会议厅,100," 9,000 ",6904 ,2785,200,沙龙 | 公司年会
广州,美豪明悦酒店（广州会展中心店）,四星酒店,科韵路、信息港,车陂南,1号会议室,150," 5,721 ",3617 ,716,50,培训/讲座 | 经销商会议/招商会/推介会
广州,广州嘉逸国际酒店,五星酒店,天河体育中心商圈,冼村,七楼多功能M1会议室,100," 6,388 ",3236 ,0,136,培训/讲座 | 工作会/总结会
广州,水悦国际酒店（广州番禺长隆大石地铁站店）,三星酒店,番禺长隆区域,沙溪,会议厅,100," 2,250 ",1530 ,500,0,培训/讲座 | 公司年会
广州,广州四季酒店,五星酒店,珠江新城商圈,琶醍,黄玉厅,50," 7,800 ",5720 ,0,1500,发布会/颁奖/庆典 | 培训/讲座
广州,Cynical西里会所,会所,天河体育中心商圈,冼村,中厅,30," 12,250 ",7000 ,4000,0,沙龙 | 培训/讲座
广州,广州南国酒店,四星酒店,珠江新城商圈,磨碟沙,1号宴会厅,280," 12,833 ",7092 ,933,0,培训/讲座 | 研讨/交流/论坛
广州,广州梅花园林酒店,三星酒店,梅花园、同和、南方医院,京溪南方医院,一号会议室,120," 2,483 ",1587 ,500,0,培训/讲座 | 研讨/交流/论坛
广州,G+coffee,咖啡厅,琶洲国际会展,会展西,交流厅,80," 5,000 ",3312 ,0,0,培训/讲座 | 研讨/交流/论坛
广州,广州正佳广场万豪酒店,五星酒店,天河体育中心商圈,冼村,宴会厅C,100," 10,000 ",8277 ,3188,0,沙龙 | 培训/讲座
广州,广州番禺丽柏酒店,四星酒店,番禺市桥区域,市桥,多功能会议厅,160," 2,000 ",2550 ,1050,0,培训/讲座 | 发布会/颁奖/庆典
广州,广州臻美东方假日酒店,三星酒店,罗冲围、金沙洲,横沙,吉祥厅,120," 1,875 ",1363 ,630,0,培训/讲座 | 研讨/交流/论坛
广州,广州南国酒店,四星酒店,珠江新城商圈,磨碟沙,2号宴会厅,180," 10,000 ",6444 ,1080,0,研讨/交流/论坛 | 工作会/总结会
广州,美豪明悦酒店（广州会展中心店）,四星酒店,科韵路、信息港,车陂南,2号会议室,60," 2,714 ",1812 ,1356,0,培训/讲座 | 工作会/总结会
广州,维也纳国际酒店（广州南站国际店）,四星酒店,番禺长隆区域,钟村,莫扎特厅,80," 2,642 ",1777 ,580,0,培训/讲座 | 经销商会议/招商会/推介会
广州,广州梅花园林酒店,三星酒店,梅花园、同和、南方医院,京溪南方医院,二号会议室,40," 1,200 ",714 ,540,0,培训/讲座 | 公司年会
广州,科创咖啡（保利克洛维店）,咖啡厅,-,冼村,会议室AB,60," 3,580 ",2400 ,0,100,培训/讲座 | 经销商会议/招商会/推介会
广州,广州颐和商务酒店,四星酒店,环市东路地区,农讲所,颐和厅,100," 5,531 ",2933 ,1100,105,培训/讲座 | 工作会/总结会
广州,广州总统大酒店,四星酒店,天河体育中心商圈,冼村,总裁厅,120," 6,000 ",3433 ,2388,65,培训/讲座 | 经销商会议/招商会/推介会
广州,广州涵天戴斯酒店,四星酒店,科韵路、信息港,科韵路,宴会厅,350," 7,000 ",4600 ,600,0,培训/讲座 | 答谢会
广州,花镇职业培训学校,培训中心,麓湖商圈,烈士陵园,课室三,60," 1,166 ",928 ,0,0,培训/讲座
广州,广州海俊酒店,四星酒店,北京路、海珠广场,一德路,大会议厅,100," 4,033 ",2071 ,1288,108,培训/讲座 | 经销商会议/招商会/推介会
广州,广州珠江新城华轩里酒店,四星酒店,珠江新城商圈,广州塔东,华轩厅,100," 8,250 ",4200 ,2688,198,培训/讲座 | 公司年会
广州,广州歌尔爵斯酒店,四星酒店,广州东站、天河北、沙河,体育中心南,会议室,150," 3,754 ",1950 ,650,0,培训/讲座 | 研讨/交流/论坛
广州,珠江时尚馆,艺术中心,琶洲国际会展,江泰路,A区方形秀场,600," 10,444 ",7500 ,1500,0,其它 | 培训/讲座
广州,广州嘉逸国际酒店,五星酒店,天河体育中心商圈,冼村,七楼多功能M8会议室,30," 3,400 ",1800 ,0,0,沙龙 | 其它
广州,广州华厦大酒店,四星酒店,北京路、海珠广场,文化公园,会议中心全场,400," 20,000 ",9500 ,0,0,培训/讲座 | 工作会/总结会
广州,广州博雅假日酒店,四星酒店,白云山风景区,三元里,20F多功能宴会厅,300," 10,500 ",5346 ,672,88,培训/讲座 | 经销商会议/招商会/推介会
广州,凯旋龙连锁酒店（广州环市路区庄地铁站店）,三星酒店,区庄、东山口、东风东路,农讲所,大会议室,230," 2,714 ",0 ,0,0,培训/讲座
广州,广州容锦酒店,三星酒店,天河体育中心商圈,冼村,夏地亚纳宴会厅,250," 8,500 ",4687 ,800,0,培训/讲座 | 研讨/交流/论坛
广州,广州嘉逸国际酒店,五星酒店,天河体育中心商圈,冼村,七楼多功能M2会议室,22," 3,000 ",1750 ,0,0,培训/讲座 | 沙龙
广州,高岸茶室（北京路店）,其他,北京路、海珠广场,东湖,诗梳风,60," 1,650 ",1875 ,0,0,研讨/交流/论坛 | 培训/讲座
广州,G+coffee,咖啡厅,琶洲国际会展,会展西,展览厅,80," 9,500 ",4857 ,0,0,沙龙 | 工作会/总结会
广州,广州嘉逸国际酒店,五星酒店,天河体育中心商圈,冼村,七楼多功能M3会议室,15," 3,366 ",1866 ,0,100,工作会/总结会 | 培训/讲座
广州,美豪·丽致酒店（广州东站店）,四星酒店,广州东站、天河北、沙河,体育中心南,丽致厅,90," 5,333 ",3500 ,0,0,培训/讲座 | 沙龙
广州,广州歌尔爵斯酒店,四星酒店,广州东站、天河北、沙河,体育中心南,吉祥厅,60," 2,950 ",1600 ,700,0,培训/讲座 | 研讨/交流/论坛